product_id,product_name,product_category,brand,launch_date,price,cost,supplier_id,stock_quantity,rating,warranty_period
PROD-AO677,Digital Router X 501,Electronics,Lenovo,2019-10-15,544.33,425.37,SUP00079,480,4.4,19
PROD-LJ380,Pro Helmet Elite 457,Sports,Yonex,2015-01-08,321.49,233.8,SUP00341,352,4.6,7
PROD-DD239,Smart Monitor Series 229,Electronics,Apple,2019-12-01,1083.94,680.92,SUP00251,205,3.8,32
PROD-LM344,Rustic Bed Series 625,Furniture,Havertys,2016-04-07,924.55,605.99,SUP00026,533,3.5,16
PROD-GG825,Professional Fan Edition 515,Home & Garden,KitchenAid,2015-11-21,500.0,339.65,SUP00059,921,3.5,16
PROD-WI394,Mastering Self-Help,Books,Scholastic,2019-08-08,28.39,22.57,SUP00391,628,3.6,0
PROD-NT256,Ultra Tablet Max 534,Electronics,Lenovo,2023-09-15,1860.96,1514.79,SUP00194,604,3.4,32
PROD-CJ239,Vintage Chair Series 114,Furniture,Rooms To Go,2021-06-04,1984.11,1558.57,SUP00454,703,4.3,48
PROD-FC853,Introduction to Science,Books,Macmillan,2024-06-08,60.0,37.96,SUP00228,269,3.8,0
PROD-VT794,Pro Smartphone X 850,Electronics,Lenovo,2019-12-07,980.32,671.86,SUP00306,721,3.3,31
PROD-OR243,Digital Camera Plus 467,Electronics,Asus,2020-09-07,1922.47,1315.5,SUP00192,397,2.4,20
PROD-SZ691,Premium Monitor X 675,Electronics,Samsung,2017-06-20,1016.74,811.56,SUP00110,338,4.2,21
PROD-UX792,Rustic Dresser Edition 703,Furniture,Crate & Barrel,2016-09-24,1527.66,922.85,SUP00257,794,4.3,37
PROD-YH497,Casual T-Shirt Model 868,Apparel,Adidas,2016-05-09,69.42,56.59,SUP00303,269,4.2,3
PROD-RH990,Professional Lawn Mower Model 133,Home & Garden,KitchenAid,2017-11-10,191.42,118.52,SUP00484,455,3.0,12
PROD-TW458,Modern Table Series 650,Furniture,Rooms To Go,2021-01-31,1721.43,1060.0,SUP00139,191,4.8,23
PROD-BQ754,Classic Sofa Model 230,Furniture,IKEA,2018-12-09,1244.14,946.01,SUP00288,406,4.4,26
PROD-RL113,Modern Desk X 631,Furniture,West Elm,2024-07-29,2106.15,1385.45,SUP00165,899,4.1,46
PROD-ZG182,A Guide to Art,Books,Pearson,2018-12-01,43.21,31.45,SUP00108,101,4.3,0
PROD-SF675,Compact Sofa Plus 859,Furniture,La-Z-Boy,2015-07-21,1639.22,1011.03,SUP00232,402,3.8,55
PROD-OF167,Wireless Tablet Elite 193,Electronics,Samsung,2023-11-01,2000.0,1535.69,SUP00303,808,4.4,13
PROD-ZU391,Casual Dress Pro 365,Apparel,Under Armour,2023-11-18,204.72,166.21,SUP00305,179,4.6,6
PROD-PB628,Competition Golf Club Pro 603,Sports,Callaway,2023-09-20,256.82,179.17,SUP00317,246,4.0,11
PROD-AS525,Eco Heater Elite 831,Home & Garden,Dyson,2020-01-17,500.0,422.7,SUP00435,307,3.9,7
PROD-GQ676,Heavy Duty Mixer Pro 947,Home & Garden,Philips,2016-09-12,108.48,75.56,SUP00444,1209,3.9,8
PROD-GL757,Essential Art,Books,Penguin,2019-02-06,49.64,39.98,SUP00441,366,3.3,0
PROD-OC178,Sport Jacket Elite 390,Apparel,Gap,2021-10-13,232.35,190.5,SUP00089,346,3.3,0
PROD-VJ302,Wireless TV Pro 164,Electronics,Canon,2019-09-10,1198.78,884.08,SUP00318,701,3.9,25
PROD-QB958,Practical Fiction,Books,Cambridge,2021-10-15,35.3,21.51,SUP00164,646,4.6,0
PROD-JC747,Modern Bench X 871,Furniture,Rooms To Go,2018-10-06,529.44,433.91,SUP00024,155,3.7,50
PROD-GE556,Smart Printer Model 109,Electronics,Lenovo,2019-09-05,1602.4,1335.48,SUP00009,964,3.8,18
PROD-JZ380,Modern Dresser Plus 692,Furniture,Ethan Allen,2021-04-08,1083.55,771.89,SUP00395,406,3.5,44
PROD-HO154,Vintage Dresser Pro 994,Furniture,Havertys,2018-02-27,857.46,693.14,SUP00444,214,4.2,40
PROD-WS220,Luxury Cabinet X 891,Furniture,Wayfair,2019-01-27,1008.47,842.26,SUP00293,139,3.0,37
PROD-JM725,Mastering Self-Help,Books,Pearson,2021-05-26,16.51,13.22,SUP00212,150,3.7,0
PROD-LK657,Premium Sweater Series 783,Apparel,Uniqlo,2024-04-18,140.18,119.12,SUP00323,458,4.8,6
PROD-MY394,Pro TV Elite 542,Electronics,HP,2016-03-21,584.61,426.49,SUP00282,108,2.7,8
PROD-SB802,The Fiction,Books,Hachette,2021-03-09,12.06,9.89,SUP00186,80,4.8,0
PROD-WE987,Premium Tablet Model 434,Electronics,LG,2015-08-09,749.73,626.04,SUP00413,210,4.4,30
PROD-OQ833,Heavy Duty Heater Elite 257,Home & Garden,Dyson,2019-12-22,390.09,279.49,SUP00034,437,4.1,17
PROD-ZF364,4K Printer Model 117,Electronics,HP,2018-09-16,491.58,308.13,SUP00161,28,4.2,25
PROD-WL991,Indoor Dumbbell Set X 224,Sports,The North Face,2019-03-18,390.53,279.25,SUP00142,657,3.7,8
PROD-GK679,Practical Self-Help,Books,Hachette,2018-01-03,60.0,46.44,SUP00151,557,3.4,0
PROD-WS128,Pro Router Series 445,Electronics,Samsung,2023-01-01,895.03,589.2,SUP00259,254,4.8,10
PROD-PG495,Pro Laptop Model 216,Electronics,Asus,2024-05-13,677.74,484.15,SUP00032,73,4.7,28
PROD-LR824,Mastering Business,Books,Penguin,2017-03-17,60.0,48.48,SUP00285,507,4.3,0
PROD-SD538,Competition Tennis Racket Pro 836,Sports,Decathlon,2024-01-19,604.16,414.86,SUP00175,380,4.1,4
PROD-RZ503,Wireless Speaker Edition 324,Electronics,Canon,2021-06-21,424.94,322.78,SUP00303,253,4.7,30
PROD-PR617,HD Laptop Max 596,Electronics,Dell,2023-02-15,1203.59,945.46,SUP00045,373,4.0,27
PROD-VS860,Regular Shirt X 413,Apparel,Adidas,2022-09-05,151.98,101.84,SUP00078,255,3.3,1
PROD-XG964,Elite Dumbbell Set Max 614,Sports,Adidas,2017-11-30,198.28,140.19,SUP00458,504,4.5,3
PROD-GI704,Digital Camera Elite 823,Electronics,Sony,2018-05-27,1609.14,1235.14,SUP00371,244,4.7,10
PROD-SM341,Heavy Duty Iron Edition 381,Home & Garden,Rubbermaid,2016-09-05,184.53,145.56,SUP00271,358,4.4,24
PROD-VG671,HD Speaker Max 888,Electronics,HP,2022-11-16,330.76,247.53,SUP00408,164,3.5,23
PROD-JV661,Executive Table Edition 871,Furniture,IKEA,2020-03-01,661.96,558.14,SUP00277,400,3.9,22
PROD-RH224,Premium Trimmer Series 956,Home & Garden,OXO,2023-06-03,163.53,133.76,SUP00206,380,4.6,21
PROD-GY648,HD Printer Pro 872,Electronics,Sony,2017-11-30,1170.88,981.57,SUP00405,918,4.4,33
PROD-BI711,Digital TV Edition 366,Electronics,Canon,2024-04-04,1050.53,651.88,SUP00391,115,3.9,28
PROD-JH134,All-Weather Basketball Edition 137,Sports,Spalding,2021-08-06,732.01,467.62,SUP00463,455,4.5,12
PROD-EZ426,Digital Headphones Plus 587,Electronics,Apple,2016-11-04,662.11,439.91,SUP00236,212,4.5,16
PROD-GL458,Smart Lawn Mower X 655,Home & Garden,Miracle-Gro,2020-03-21,162.11,101.72,SUP00438,980,4.8,6
