transaction_id,transaction_date,department,transaction_type,description,amount,currency,profit_margin,cost_center,payment_method,approval_status
TXN-110004,2023-01-01,Sales,Revenue,Subscription Revenue,9122.47,INR,0.62,CC-SALES-01,Credit,Approved
TXN-116302,2023-01-01,Sales,Expense,Trade Show Costs,1444.65,USD,,CC-SALES-02,Credit,Approved
TXN-106857,2023-01-01,Sales,Revenue,License Sales,1126.81,GBP,0.6,CC-SALES-02,Bank Transfer,Approved
TXN-102117,2023-01-01,Operations,Expense,Office Rent,4160.93,USD,,CC-OPS-02,Bank Transfer,Pending
TXN-122819,2023-01-01,IT,Expense,Hardware Purchase,9679.85,USD,,CC-IT-01,Bank Transfer,Approved
TXN-107377,2023-01-01,IT,Expense,Cybersecurity,12740.54,USD,,CC-IT-02,Bank Transfer,Approved
TXN-124940,2023-01-01,IT,Expense,Cloud Infrastructure,7807.84,INR,,CC-IT-02,UPI,Pending
TXN-112611,2023-01-01,Sales,Expense,Client Entertainment,2369.35,INR,,CC-SALES-03,Credit,Approved
TXN-128175,2023-01-01,Operations,Expense,Office Rent,1171.97,USD,,CC-OPS-04,UPI,Approved
TXN-126184,2023-01-01,IT,Revenue,Software Sales,15796.45,USD,0.59,CC-IT-02,UPI,Approved
TXN-114032,2023-01-01,Operations,Expense,Utilities,1154.54,GBP,,CC-OPS-03,Bank Transfer,Approved
TXN-120652,2023-01-01,IT,Expense,IT Support,42028.33,USD,,CC-IT-02,Credit,Approved
TXN-124015,2023-01-01,Operations,Expense,Equipment Purchase,862.44,USD,,CC-OPS-03,UPI,Approved
TXN-129646,2023-01-01,Sales,Revenue,Subscription Revenue,426781.96,USD,0.55,CC-SALES-03,Cash,Approved
TXN-119298,2023-01-01,HR,Expense,Salaries,29761.61,INR,,CC-HR-02,Bank Transfer,Approved
TXN-114008,2023-01-01,Marketing,Expense,Advertising Spend,1816.62,USD,,CC-MKT-03,Credit,Approved
TXN-104235,2023-01-01,Operations,Expense,Maintenance,133.3,INR,,CC-OPS-02,Credit,Approved
TXN-123722,2023-01-01,Operations,Revenue,Operational Revenue,4403.87,EUR,0.35,CC-OPS-01,Bank Transfer,Approved
TXN-107299,2023-01-01,IT,Expense,IT Support,2194.49,USD,,CC-IT-01,Cash,Pending
TXN-103618,2023-01-01,Operations,Expense,Logistics Costs,349.93,EUR,,CC-OPS-01,UPI,Approved
TXN-116506,2023-01-01,HR,Expense,Training Programs,37356.26,USD,,CC-HR-02,Credit,Approved
TXN-111708,2023-01-01,Sales,Expense,Sales Commission,1727.32,USD,,CC-SALES-02,Bank Transfer,Approved
TXN-122906,2023-01-01,IT,Revenue,Cloud Services Revenue,79227.59,INR,0.81,CC-IT-01,Credit,Approved
TXN-116456,2023-01-01,Operations,Revenue,Consulting Revenue,1372.31,USD,0.35,CC-OPS-02,Bank Transfer,Pending
TXN-102588,2023-01-01,Sales,Revenue,License Sales,5470.78,INR,0.5,CC-SALES-03,Bank Transfer,Approved
TXN-119121,2023-01-01,Sales,Revenue,Subscription Revenue,74320.81,USD,0.6,CC-SALES-01,Bank Transfer,Approved
TXN-114819,2023-01-01,Operations,Expense,Maintenance,2779.81,USD,,CC-OPS-02,UPI,Approved
TXN-116668,2023-01-02,IT,Expense,Network Costs,5231.33,USD,,CC-IT-02,Bank Transfer,Approved
TXN-121881,2023-01-02,IT,Expense,Software Licenses,34730.25,USD,,CC-IT-01,Credit,Approved
TXN-110209,2023-01-02,HR,Expense,Training Programs,6349.92,USD,,CC-HR-02,Bank Transfer,Approved
TXN-117858,2023-01-02,Operations,Expense,Maintenance,592.54,EUR,,CC-OPS-03,Bank Transfer,Approved
